epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25718.4,1.11353,3.03281,1.3603,0.83576,0.69222,0.78885,0.6121,0.85437,2.15474,1.16479,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26517.5,1.11369,3.00799,1.3581,0.83818,0.69336,0.79013,0.61354,0.85299,2.14918,1.16334,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,27319.6,1.10689,2.95539,1.34742,0.8367,0.69584,0.79136,0.61449,0.85215,2.14565,1.1621,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,28120.3,1.10467,2.94094,1.3504,0.83609,0.69734,0.7917,0.6161,0.85112,2.14092,1.16122,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,28918.3,1.10297,2.91555,1.34783,0.83837,0.69856,0.79241,0.6171,0.84971,2.13397,1.16004,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,29714.2,1.09022,2.85601,1.33958,0.83869,0.70055,0.79351,0.61805,0.84864,2.12812,1.1591,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,30510,1.08405,2.83222,1.33777,0.83888,0.70156,0.79422,0.61857,0.84734,2.12259,1.15797,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,31307.3,1.0747,2.80613,1.33397,0.83832,0.7022,0.79521,0.61997,0.84564,2.11656,1.15629,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,32107,1.07577,2.76108,1.32785,0.84621,0.69814,0.79584,0.62093,0.84388,2.10926,1.15489,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,32900.2,0.97799,2.07587,1.26934,0.84856,0.69729,0.79651,0.62191,0.84262,2.10425,1.15382,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,33693.5,0.95548,1.98771,1.25483,0.84622,0.69971,0.79737,0.62313,0.84112,2.09758,1.15243,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,34488.1,0.94498,1.92945,1.24644,0.84604,0.69978,0.79823,0.62434,0.83942,2.09147,1.15111,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,35281.2,0.93568,1.87509,1.23656,0.8358,0.70947,0.7985,0.62574,0.83818,2.08636,1.14979,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,36071.2,0.923,1.82366,1.22324,0.83908,0.70839,0.79899,0.62696,0.8366,2.08204,1.14807,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,36864.1,0.9187,1.79131,1.21693,0.83825,0.71142,0.7997,0.62817,0.83472,2.0774,1.14629,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,37656.5,0.90301,1.74695,1.20737,0.83703,0.7138,0.80063,0.62969,0.8332,2.07462,1.14489,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,38450.4,0.89502,1.69675,1.20149,0.83557,0.71595,0.80154,0.63077,0.83184,2.07069,1.14377,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,39243.8,0.88897,1.66504,1.19965,0.83597,0.71738,0.80196,0.63186,0.83,2.06693,1.14194,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,40035.7,0.88028,1.63303,1.18929,0.83614,0.71876,0.80268,0.63293,0.82858,2.06379,1.14036,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
